time,imu_x,x,y,phase
45.871,202.0,1.646,-0.5581,forward_3
45.931,202.188,1.646,-0.5581,forward_3
45.995,202.188,1.646,-0.5581,forward_3
46.055,202.25,1.646,-0.5581,forward_3
46.119,202.188,1.646,-0.5581,forward_3
46.182,202.188,1.646,-0.5581,forward_3
46.243,202.188,1.646,-0.5581,forward_3
46.306,202.188,1.646,-0.5581,forward_3
46.367,202.0,1.646,-0.5581,forward_3
46.43,202.0,1.646,-0.5581,forward_3
46.493,202.0,1.646,-0.5581,forward_3
46.554,202.062,1.646,-0.5581,forward_3
46.617,202.062,1.646,-0.5581,forward_3
46.678,202.25,1.646,-0.5581,forward_3
46.74,202.625,1.646,-0.5581,forward_3
46.803,202.625,1.646,-0.5581,forward_3
46.864,202.688,1.646,-0.5581,forward_3
46.927,202.688,1.646,-0.5581,forward_3
46.987,202.5,1.646,-0.5581,forward_3
47.051,202.5,1.646,-0.5581,forward_3
47.114,202.5,1.646,-0.5581,forward_3
47.175,202.438,1.646,-0.5581,forward_3
47.238,202.438,1.646,-0.5581,forward_3
47.298,202.375,1.646,-0.5581,forward_3
47.362,202.625,1.646,-0.5581,forward_3
47.425,202.625,1.646,-0.5581,forward_3
47.486,202.938,1.646,-0.5581,forward_3
47.549,202.938,1.646,-0.5581,forward_3
47.609,203.25,1.646,-0.5581,forward_3
47.673,203.25,1.646,-0.5581,forward_3
47.736,203.25,1.646,-0.5581,forward_3
47.796,203.062,1.646,-0.5581,forward_3
47.859,203.062,1.646,-0.5581,forward_3
47.92,202.938,1.646,-0.5581,forward_3
47.983,202.75,1.646,-0.5581,forward_3
48.046,202.75,1.646,-0.5581,forward_3
48.107,202.5,1.646,-0.5581,forward_3
48.372,202.562,0.3431,-1.0945,forward_3_done
48.436,202.688,0.3431,-1.0945,turn_3
48.499,201.562,0.3431,-1.0945,turn_3
48.562,201.562,0.3431,-1.0945,turn_3
48.623,195.375,0.3431,-1.0945,turn_3
48.687,195.375,0.3431,-1.0945,turn_3
48.747,187.875,0.3431,-1.0945,turn_3
48.81,178.75,0.3431,-1.0945,turn_3
48.873,178.75,0.3431,-1.0945,turn_3
48.934,170.188,0.3431,-1.0945,turn_3
48.996,170.188,0.3431,-1.0945,turn_3
49.057,161.062,0.3431,-1.0945,turn_3
49.121,150.312,0.3431,-1.0945,turn_3
49.183,150.312,0.3431,-1.0945,turn_3
49.244,140.938,0.3431,-1.0945,turn_3
49.307,140.938,0.3431,-1.0945,turn_3
49.368,131.812,0.3431,-1.0945,turn_3
49.43,122.688,0.3431,-1.0945,turn_3
49.703,112.062,0.3431,-1.0945,turn_3_done
49.766,106.625,0.3431,-1.0945,forward_4
49.829,106.25,0.3431,-1.0945,forward_4
49.892,106.375,0.3431,-1.0945,forward_4
49.956,106.938,0.3431,-1.0945,forward_4
50.019,106.938,0.3431,-1.0945,forward_4
50.079,106.938,0.3431,-1.0945,forward_4
50.143,106.938,0.3431,-1.0945,forward_4
50.203,107.0,0.3431,-1.0945,forward_4
50.266,106.938,0.3431,-1.0945,forward_4
50.329,106.938,0.3431,-1.0945,forward_4
50.389,106.938,0.3431,-1.0945,forward_4
50.453,106.938,0.3431,-1.0945,forward_4
50.513,106.938,0.3431,-1.0945,forward_4
50.577,106.875,0.3431,-1.0945,forward_4
50.64,106.875,0.3431,-1.0945,forward_4
50.701,106.938,0.3431,-1.0945,forward_4
50.763,106.938,0.3431,-1.0945,forward_4
50.824,107.125,0.3431,-1.0945,forward_4
50.887,107.25,0.3431,-1.0945,forward_4
50.95,107.25,0.3431,-1.0945,forward_4
51.011,107.25,0.3431,-1.0945,forward_4
51.073,107.25,0.3431,-1.0945,forward_4
51.134,107.312,0.3431,-1.0945,forward_4
51.197,107.188,0.3431,-1.0945,forward_4
51.259,107.188,0.3431,-1.0945,forward_4
51.32,107.0,0.3431,-1.0945,forward_4
51.383,107.0,0.3431,-1.0945,forward_4
51.443,106.938,0.3431,-1.0945,forward_4
51.507,106.938,0.3431,-1.0945,forward_4
51.57,106.938,0.3431,-1.0945,forward_4
51.631,107.062,0.3431,-1.0945,forward_4
51.694,107.188,0.3431,-1.0945,forward_4
51.756,107.188,0.3431,-1.0945,forward_4
